Name,Strategy,Accuracy,Precision,Recall,F Score,Cohen's Kappa coefficient
LinearSVC,knn_normalized_fe,1.0,,,,
LogisticRegression,knn_normalized_fe,1.0,,,,
NeuralNetwork,knn_normalized_fe,0.9362222222222222,,,,
GBTClassifier,knn_normalized_fe,0.0,,,,
RandomForestClassifier,knn_normalized_fe,0.02097777777777778,,,,
DecisionTreeClassifier,knn_normalized_fe,0.0,,,,
LinearSVC,knn_scaled_fe,1.0,,,,
LogisticRegression,knn_scaled_fe,0.9737777777777777,,,,
NeuralNetwork,knn_scaled_fe,0.7992222222222222,,,,
GBTClassifier,knn_scaled_fe,0.0,,,,
RandomForestClassifier,knn_scaled_fe,0.006466666666666667,,,,
DecisionTreeClassifier,knn_scaled_fe,0.0,,,,
LinearSVC,mean_normalized_fe,1.0,,,,
LogisticRegression,mean_normalized_fe,1.0,,,,
NeuralNetwork,mean_normalized_fe,0.8821555555555556,,,,
GBTClassifier,mean_normalized_fe,0.9875111111111111,,,,
RandomForestClassifier,mean_normalized_fe,0.9844,,,,
DecisionTreeClassifier,mean_normalized_fe,0.9926222222222222,,,,
LinearSVC,mean_scaled_fe,1.0,,,,
LogisticRegression,mean_scaled_fe,0.0009333333333333333,,,,
NeuralNetwork,mean_scaled_fe,0.8282,,,,
GBTClassifier,mean_scaled_fe,0.9558,,,,
RandomForestClassifier,mean_scaled_fe,0.9339111111111111,,,,
DecisionTreeClassifier,mean_scaled_fe,0.9553555555555555,,,,
LinearSVC,median_normalized_fe,1.0,,,,
LogisticRegression,median_normalized_fe,1.0,,,,
NeuralNetwork,median_normalized_fe,0.9110222222222222,,,,
GBTClassifier,median_normalized_fe,0.9885111111111111,,,,
RandomForestClassifier,median_normalized_fe,0.9828666666666667,,,,
DecisionTreeClassifier,median_normalized_fe,0.9855333333333334,,,,
LinearSVC,median_scaled_fe,1.0,,,,
LogisticRegression,median_scaled_fe,0.002266666666666667,,,,
NeuralNetwork,median_scaled_fe,0.8618666666666667,,,,
GBTClassifier,median_scaled_fe,0.9950444444444444,,,,
RandomForestClassifier,median_scaled_fe,0.9835777777777778,,,,
DecisionTreeClassifier,median_scaled_fe,0.9951555555555556,,,,
LinearSVC,norm_soft_fe,0.8835333333333333,,,,
LogisticRegression,norm_soft_fe,1.0,,,,
NeuralNetwork,norm_soft_fe,0.8196444444444444,,,,
GBTClassifier,norm_soft_fe,0.0016666666666666668,,,,
RandomForestClassifier,norm_soft_fe,0.049,,,,
DecisionTreeClassifier,norm_soft_fe,0.0036,,,,
